# [SkemaScraper]
# teacherid = 5421
# firstweek = 4
# lastweek = 27
# year = 2012
# inputdateformat = %d-%m-%Y
# outputdateformat = %Y-%m-%d
# [ExportIcs]
# outfile = MON_2012S.ics
# inputdateformat = %Y-%m-%d
#

Date: 2012-05-29; StartTime: 2012-05-29 11:05:00; EndTime: 2012-05-29 11:50:00; Location: b-1.55; Class: 12OIT2bH1; Subject: Networking; Teacher: mon; 
Date: 2012-05-29; StartTime: 2012-05-29 12:30:00; EndTime: 2012-05-29 13:15:00; Location: b-1.55; Class: 12OIT2bH1; Subject: IT Security; Teacher: mon; 
Date: 2012-05-31; StartTime: 2012-05-29 13:15:00; EndTime: 2012-05-29 14:00:00; Location: b-1.55; Class: 12OIT2bH1; Subject: IT Security; Teacher: mon; 
Date: 2012-05-31; StartTime: 2012-05-31 08:30:00; EndTime: 2012-05-31 09:15:00; Location: b-1.55; Class: 12OIT2bH1; Subject: IT Security; Teacher: mon; 
Date: 2012-05-31; StartTime: 2012-05-31 09:15:00; EndTime: 2012-05-31 10:00:00; Location: b-1.55; Class: 12OIT2bH1; Subject: IT Security; Teacher: mon; 
Date: 2012-05-31; StartTime: 2012-05-31 10:20:00; EndTime: 2012-05-31 11:05:00; Location: b-1.44; Class: 12OIT4bS1; Subject: Counselling; Teacher: mon; 
Date: 2012-06-04; StartTime: 2012-05-31 11:05:00; EndTime: 2012-05-31 11:50:00; Location: b-1.44; Class: 12OIT4bS1; Subject: Counselling; Teacher: mon; 
Date: 2012-06-04; StartTime: 2012-06-04 08:30:00; EndTime: 2012-06-04 09:15:00; Location: b-1.44; Class: 12OIT4bS1; Subject: Counselling; Teacher: mon; 
Date: 2012-06-04; StartTime: 2012-06-04 09:15:00; EndTime: 2012-06-04 10:00:00; Location: b-1.44; Class: 12OIT4bS1; Subject: Counselling; Teacher: mon; 
Date: 2012-06-04; StartTime: 2012-06-04 10:20:00; EndTime: 2012-06-04 11:05:00; Location: b-1.55; Class: 12OIT2bH1; Subject: Networking; Teacher: mon; 
Date: 2012-06-04; StartTime: 2012-06-04 11:05:00; EndTime: 2012-06-04 11:50:00; Location: b-1.55; Class: 12OIT2bH1; Subject: Networking; Teacher: mon; 
Date: 2012-06-04; StartTime: 2012-06-04 12:30:00; EndTime: 2012-06-04 13:15:00; Location: b-1.55; Class: 12OIT2bH1; Subject: IT Security; Teacher: mon; 
Date: 2012-06-05; StartTime: 2012-06-04 13:15:00; EndTime: 2012-06-04 14:00:00; Location: b-1.55; Class: 12OIT2bH1; Subject: IT Security; Teacher: mon; 
Date: 2012-06-05; StartTime: 2012-06-05 08:30:00; EndTime: 2012-06-05 09:15:00; Location: b-1.44; Class: 12OIT4bS1; Subject: Counselling; Teacher: mon; 
Date: 2012-06-05; StartTime: 2012-06-05 09:15:00; EndTime: 2012-06-05 10:00:00; Location: b-1.44; Class: 12OIT4bS1; Subject: Counselling; Teacher: mon; 
Date: 2012-06-05; StartTime: 2012-06-05 10:20:00; EndTime: 2012-06-05 11:05:00; Location: b-1.55; Class: 12OIT2bH1; Subject: Networking; Teacher: mon; 
Date: 2012-06-05; StartTime: 2012-06-05 11:05:00; EndTime: 2012-06-05 11:50:00; Location: b-1.55; Class: 12OIT2bH1; Subject: Networking; Teacher: mon; 
Date: 2012-06-05; StartTime: 2012-06-05 12:30:00; EndTime: 2012-06-05 13:15:00; Location: b-1.55; Class: 12OIT2bH1; Subject: IT Security; Teacher: mon; 
Date: 2012-06-11; StartTime: 2012-06-05 13:15:00; EndTime: 2012-06-05 14:00:00; Location: b-1.55; Class: 12OIT2bH1; Subject: IT Security; Teacher: mon; 
Date: 2012-06-11; StartTime: 2012-06-11 10:20:00; EndTime: 2012-06-11 11:05:00; Location: b-1.55; Class: 12OIT2bH1; Subject: Networking; Teacher: mon; 
Date: 2012-06-11; StartTime: 2012-06-11 11:05:00; EndTime: 2012-06-11 11:50:00; Location: b-1.55; Class: 12OIT2bH1; Subject: Networking; Teacher: mon; 
Date: 2012-06-11; StartTime: 2012-06-11 12:30:00; EndTime: 2012-06-11 13:15:00; Location: b-1.55; Class: 12OIT2bH1; Subject: IT Security; Teacher: mon; 
Date: 2012-06-12; StartTime: 2012-06-11 13:15:00; EndTime: 2012-06-11 14:00:00; Location: b-1.55; Class: 12OIT2bH1; Subject: IT Security; Teacher: mon; 
Date: 2012-06-12; StartTime: 2012-06-12 08:30:00; EndTime: 2012-06-12 09:15:00; Location: b-1.44; Class: 12OIT4bS1; Subject: Counselling; Teacher: mon; 
Date: 2012-06-12; StartTime: 2012-06-12 09:15:00; EndTime: 2012-06-12 10:00:00; Location: b-1.44; Class: 12OIT4bS1; Subject: Counselling; Teacher: mon; 
Date: 2012-06-12; StartTime: 2012-06-12 10:20:00; EndTime: 2012-06-12 11:05:00; Location: b-1.55; Class: 12OIT2bH1; Subject: Networking; Teacher: mon; 
Date: 2012-06-12; StartTime: 2012-06-12 11:05:00; EndTime: 2012-06-12 11:50:00; Location: b-1.55; Class: 12OIT2bH1; Subject: Networking; Teacher: mon; 
Date: 2012-06-12; StartTime: 2012-06-12 12:30:00; EndTime: 2012-06-12 13:15:00; Location: b-1.55; Class: 12OIT2bH1; Subject: IT Security; Teacher: mon; 
Date: 2012-06-18; StartTime: 2012-06-12 13:15:00; EndTime: 2012-06-12 14:00:00; Location: b-1.55; Class: 12OIT2bH1; Subject: IT Security; Teacher: mon; 
Date: 2012-06-18; StartTime: 2012-06-18 10:20:00; EndTime: 2012-06-18 11:05:00; Location: b-1.55; Class: 12OIT2bH1; Subject: Networking; Teacher: mon; 
